,Features,Logistic regression,Random Forest,XGBoosting
bill_amt_Jul,bill_amt_Jul,0.03711745778472127,0.0008056362697482398,0.0021498801208234184
sex,sex,0.0069506560547119975,0.0008209577337953016,0.0011557561716410414
marriage_married,marriage_married,0.0272191639713162,0.0008302597985736322,0.0015375389959917526
education_graduate school,education_graduate school,0.10598069487741914,0.000874459690062927,0.0011875275145504002
age,age,0.00773047390600431,0.0008980351467604899,0.002634901740744927
education_high school,education_high school,0.06751782568271869,0.0009434930581873572,0.0011001323057496103
education_university,education_university,0.10285772267957996,0.0009593621814863819,0.001047697898947527
bill_amt_May,bill_amt_May,0.009330163828584053,0.001103998575136616,0.0015680090694338642
bill_amt_Jun,bill_amt_Jun,0.011228740310110747,0.001192104897427891,0.0016914381517532354
marriage_single,marriage_single,0.0106709119900367,0.001310319488247481,0.001057332844206105
bill_amt_Apr,bill_amt_Apr,0.006111515270391144,0.0028502152762592383,0.003658988788044969
bill_amt_Aug,bill_amt_Aug,0.0009423887841643017,0.006101368650062948,0.0014406047958396148
bill_amt_Sep,bill_amt_Sep,0.06548526723106708,0.006520044984842025,0.003641106348749011
pay_amt_Jun,pay_amt_Jun,0.017317500579127332,0.007734791674407979,0.003369135640787306
pay_Jun,pay_Jun,0.008393685121546594,0.008933446680165635,0.013138196126732645
pay_amt_May,pay_amt_May,0.007568904473700246,0.009110483295988951,0.0061675066013292725
pay_Apr,pay_Apr,0.0008089093887381403,0.00939572123977356,0.009039000733264814
pay_May,pay_May,0.002102193041985637,0.009806898629998721,0.010731079368815854
pay_amt_Apr,pay_amt_Apr,0.011159784114837866,0.010737375782586722,0.008791776139782596
pay_Jul,pay_Jul,0.014129598461608961,0.01394123063194713,0.016583325232747848
pay_Aug,pay_Aug,0.015006104626155889,0.015218972869755484,0.017755874703740963
pay_amt_Jul,pay_amt_Jul,0.0042356187037968715,0.01589565277794585,0.010710566982342785
pay_amt_Sep,pay_amt_Sep,0.03940656388010915,0.01832274236928596,0.013273385704727674
limit_bal,limit_bal,0.02291444850820742,0.021367170667263933,0.0215970023660906
pay_amt_Aug,pay_amt_Aug,0.06557793644768424,0.02147173438977778,0.015470955918313883
pay_Sep,pay_Sep,0.11702644681649381,0.05049459197038354,0.06370031766711683
